course,semester,exam_type,year,question,marks
MCA,1,Regular,2018,),8
MCA,1,Regular,2018,Be precise and to the point in your answer,1
MCA,1,Regular,2019,.,8
MCA,1,Regular,2019,"(A) List or-rt different categories of status codes.1""(B) Elaborate servlet struiture with doXxx methods,",8
MCA,1,Regular,2019,", Answer the foltrowing (Any Two)(1) Explain types of cookils-and cookie",1
MCA,1,Regular,2019,"""(2)",2
MCA,1,Regular,2019,SECTTON-II,3
MCA,1,Regular,2019,(A) Do as directed.,3
MCA,1,Regular,2019,(A) Answer the following Questions.(Any Two)' fil What is Data Warehouse? Explain its Characteristics',4
MCA,1,Regular,2019,(A) Answerthefollox'ingQuesiions.(An1'Two),3
MCA,1,Regular,2019,(A) Do as Directed',11
MCA,1,Regular,2019,(A) Answer the following Questions'(Any Two),4
MCA,1,Regular,2019,April- June 20lgflTotal h{arks: 50,3
MCA,1,Regular,2019,"Explain in short with figure.(1) counrer Nlode icinj ""r oi*uuon(Z) Active Security'Ati_iL* ffi.squerade and Replay (3) Man in the rniddte riii.t'rio etino artack (4) structure or puuiiclrl, in.ryouon",1
MCA,1,Regular,2019,{1 r),1
MCA,1,Regular,2019,(1),1
MCA,1,Regular,2019,"#; ;;ii'"" ti'J""u be written in a separate arlswer book",3
MCA,1,Regular,2019,-2.,8
MCA,1,Regular,2019,-3.(11),11
MCA,1,Regular,2019,-6.SECTION-II,11
MCA,1,Remedial,2017,(A),3
MCA,1,Remedial,2017,(B),2
MCA,1,Remedial,2017,(A),3
MCA,1,Remedial,2017,(B),2
MCA,1,Remedial,2017,Be precise and to the point in your answerEnrollment No,1
MCA,1,Remedial,2018,Ansryer the follorving.(Any hvo) (11)(a) Explain 4 types of tliings exist in UML.,11
MCA,1,Remedial,2018,SECTION.II,11
MCA,1,Remedial,2018,Be precise and to the point in your answer,8
MCA,1,Remedial,2018,"Answer the following (ANY TWO) , !1,- --.---,^ (11)",11
MCA,1,Remedial,2018,Answer ttre'fotlowing (ANY TWO),3
MCA,1,Remedial,2018,What is Dialog box? List out types and Explain any one.Remedial APril- June 2018,3
MCA,1,Remedial,2018,(A),8
MCA,1,Regular,2018,( \ Answer the following Questions.(Any Two),4
MCA,1,Regular,2018,(A) Answer the following Questions.(Any Two),3
MCA,1,Regular,2018,(A),8
MCA,1,Regular,2018,(A)SECTION.II,3
MCA,1,Regular,2018,Be precise and to the point in your answer.,3
MCA,1,Regular,2018,.,8
MCA,1,Regular,2018,Be precise and to the point in your answer,8
MCA,1,Regular,2018,-1. Answer the following: (08),8
MCA,1,Regular,2018,-2. tA] Answer the following: (Any Two) (10),10
MCA,1,Regular,2018,-2. tBI What is JSON? (01),1
MCA,1,Regular,2018,-3. tAl Answer the following: (Any Two) (10),10
MCA,1,Regular,2018,-4. Answer the following: (08),8
MCA,1,Regular,2018,-5. tA] Answer the following: (Any Two) (10),10
MCA,1,Regular,2018,-5. IBI Define database in MongoDB. (01),1
MCA,1,Regular,2018,"Each section 't'ooiOi"" written in a separate answer book",10
MCA,1,Regular,2018,-3.IBI,10
MCA,1,Regular,2018,-2.L,1
MCA,1,Regular,2018,-4.,11
MCA,1,Regular,2018,-6.(1 1),8
MCA,1,Regular,2019,(A) Do as directed.(1) TPC-A and TPC-B(2) 2PC,1
MCA,1,Regular,2019,(A) Ansrver the follorving Questions.(Any Trvo),2
MCA,1,Regular,2019,(A) Do as Directed.,2
MCA,1,Regular,2019,(A) Answer the following euestions.(Any Trvo),4
MCA,1,Regular,2019,(A) Answer the following euestions.(Any Two),2
MCA,1,Regular,2019,.,8
MCA,1,Regular,2019,(08),8
MCA,1,Regular,2019,%,11
MCA,1,Regular,2019,3SECTION-I,11
MCA,1,Regular,2019,USE Internet,8
MCA,1,Regular,2019,%,8
MCA,1,Regular,2019,Explain types of Popup Boxes with example.GANPAT UNIVERSITY,11
MCA,1,Regular,2019,-s,8
MCA,1,Regular,2019,%,8
MCA,1,Regular,2017,(A) Answer the following Questions'(Any Two) -- :(1) How vertical Decompositionis aiftering from Horizontal Decomposition?,1
MCA,1,Regular,2017,(A) Do as Directed.(1) Examples of Imrrlir.it r.\^n ^--r n,1
MCA,1,Regular,2017,"(A),{ns1er the follorvin g.(1) Whaf is return value of Sel%Found?",1
MCA,1,Regular,2017,"""",1
MCA,1,Regular,2017,.,3
MCA,1,Regular,2017,(1),1
MCA,1,Regular,2017,Ansr.n;er the following (ANY TWO ),11
MCA,1,Regular,2017,Ansrver the fo!lowing.(1) Explain creareCollection0 and dropCollection0 methods in,1
MCA,1,Regular,2017,Ansrver the following (ANY TWO )(1) Vi hat is Covered Query? Explain it with proper example.,1
MCA,1,Regular,2017,-3.GANPAT TINIVERSITY,11
